Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
sick_38,0,0.9562913907284768,0.0228884220123291,0.0004825592041015,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
sick_38,0,0.9562913907284768,0.0214760303497314,0.0003478527069091,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sick_38,0,0.9562913907284768,0.0220215320587158,0.0003812313079833,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sick_38,0,0.9562913907284768,0.0217435359954834,0.0003800392150878,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sick_38,0,0.952317880794702,0.0239942073822021,0.0003724098205566,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sick_38,0,0.952317880794702,0.0241830348968505,0.0003802776336669,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
sick_38,0,0.952317880794702,0.0240955352783203,0.0003528594970703,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sick_38,0,0.952317880794702,0.024332046508789,0.0003693103790283,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sick_38,1,0.9470198675496688,0.0339100360870361,0.0004019737243652,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sick_38,3,0.9456233421750664,0.0300877094268798,0.0003888607025146,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sick_38,3,0.9456233421750664,0.029797077178955,0.0003359317779541,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
sick_38,3,0.9456233421750664,0.0316736698150634,0.000385046005249,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sick_38,3,0.9456233421750664,0.0310263633728027,0.0004885196685791,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sick_38,4,0.9456233421750664,0.031386375427246,0.0003759860992431,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sick_38,3,0.9442970822281168,0.0160963535308837,0.0004258155822753,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sick_38,1,0.9403973509933776,0.0197329521179199,0.0003342628479003,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sick_38,1,0.9403973509933776,0.0214300155639648,0.0003738403320312,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sick_38,1,0.9403973509933776,0.0214354991912841,0.0004773139953613,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sick_38,1,0.9403973509933776,0.0215187072753906,0.0003829002380371,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
sick_38,1,0.9403973509933776,0.0212435722351074,0.0003454685211181,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,3,0.31,0.0164380073547363,0.0001416206359863,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.0192523002624511,0.0001516342163085,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.0262372493743896,0.0002484321594238,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.0199823379516601,0.0002007484436035,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.31,0.0165374279022216,0.0001630783081054,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.0256233215332031,0.0001521110534667,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.0167212486267089,0.0002052783966064,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.0194473266601562,0.0001401901245117,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.29,0.0170750617980957,0.0001535415649414,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.29,0.0181703567504882,0.0001840591430664,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.275,0.0170323848724365,0.0001554489135742,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.275,0.0169949531555175,0.0001487731933593,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
autoUniv-au6-1000_1555,0,0.275,0.0183305740356445,0.0001468658447265,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,0,0.275,0.0182330608367919,0.0001459121704101,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,0,0.275,0.0181813240051269,0.0001657009124755,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,0,0.275,0.0183479785919189,0.000190258026123,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,3,0.27,0.0421957969665527,0.0002171993255615,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
autoUniv-au6-1000_1555,3,0.27,0.0462782382965087,0.0001962184906005,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
autoUniv-au6-1000_1555,3,0.27,0.0489332675933837,0.0002188682556152,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
autoUniv-au6-1000_1555,3,0.27,0.035900592803955,0.0002527236938476,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
analcatdata_creditscore_461,4,1.0,0.0010848045349121,0.0001101493835449,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,4,1.0,0.0012154579162597,0.0001232624053955,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,0,1.0,0.0019536018371582,0.0008313655853271,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,1,1.0,0.0017590522766113,0.0008485317230224,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,3,1.0,0.0010063648223876,0.0001020431518554,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,3,1.0,0.0016765594482421,0.000833511352539,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,4,1.0,0.0018315315246582,0.0008039474487304,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,3,1.0,0.0011558532714843,0.0001523494720458,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,4,1.0,0.0009760856628417,0.0001049041748046,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,3,1.0,0.0010311603546142,0.0001082420349121,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,1,1.0,0.0009605884552001,0.0001077651977539,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,4,1.0,0.0009121894836425,0.0001003742218017,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,3,1.0,0.0009500980377197,0.0001027584075927,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,0,1.0,0.0010287761688232,0.0001087188720703,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,4,1.0,0.0010678768157958,0.0001096725463867,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,1,1.0,0.0009868144989013,0.0001015663146972,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,3,1.0,0.0010180473327636,0.0001072883605957,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
analcatdata_creditscore_461,4,1.0,0.0009543895721435,0.0001008510589599,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
analcatdata_creditscore_461,0,1.0,0.0011916160583496,0.000108003616333,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,1,1.0,0.0010735988616943,0.0001041889190673,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sa-heart_1498,2,0.8043478260869565,0.0021984577178955,0.0001916885375976,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sa-heart_1498,2,0.8043478260869565,0.0019047260284423,0.000126838684082,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sa-heart_1498,2,0.8043478260869565,0.0022339820861816,0.0001382827758789,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sa-heart_1498,2,0.8043478260869565,0.0022952556610107,0.0001425743103027,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sa-heart_1498,2,0.8043478260869565,0.0020282268524169,0.000133991241455,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sa-heart_1498,2,0.8043478260869565,0.0021305084228515,0.000133991241455,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sa-heart_1498,1,0.7956989247311828,0.0023581981658935,0.000148057937622,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sa-heart_1498,1,0.7956989247311828,0.0024244785308837,0.0001990795135498,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sa-heart_1498,1,0.7956989247311828,0.0022094249725341,0.0001416206359863,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sa-heart_1498,1,0.7956989247311828,0.0036442279815673,0.0001828670501708,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sa-heart_1498,1,0.7956989247311828,0.0018773078918457,0.0001256465911865,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sa-heart_1498,1,0.7956989247311828,0.002312421798706,0.0001847743988037,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sa-heart_1498,2,0.7934782608695652,0.0017492771148681,0.0001161098480224,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sa-heart_1498,2,0.7934782608695652,0.0048668384552001,0.0001423358917236,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
sa-heart_1498,2,0.7934782608695652,0.0050811767578125,0.0002143383026123,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
sa-heart_1498,2,0.7934782608695652,0.0051183700561523,0.0001544952392578,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
sa-heart_1498,2,0.7934782608695652,0.0039360523223876,0.000136375427246,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
sa-heart_1498,2,0.7934782608695652,0.0019164085388183,0.0001313686370849,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
